Title                                      Day    Year    Solves (both stars)    Solves (one star)    First solve (both stars)    100th solve (one star)
---------------------------------------  -----  ------  ---------------------  -------------------  --------------------------  ------------------------
Not Quite Lisp                               1    2015                  49838                49838                         655                     11176
I Was Told There Would Be No Math            2    2015                  34964                34964                         327                      2624
Perfectly Spherical Houses in a Vacuum       3    2015                  29027                29027                         272                      1678
The Ideal Stocking Stuffer                   4    2015                  25453                25453                         129                       985
Doesn't He Have Intern-Elves For This?       5    2015                  21662                21662                         119                      1665
Probably a Fire Hazard                       6    2015                  19338                19338                         283                      1581
Some Assembly Required                       7    2015                  13399                13399                         705                      3732
Matchsticks                                  8    2015                  12384                12384                         274                      1393
All in a Single Night                        9    2015                  11021                11021                         289                      1883
Elves Look, Elves Say                       10    2015                  11763                11763                         150                       727
Corporate Policy                            11    2015                  10255                10255                         296                      1464
JSAbacusFramework.io                        12    2015                   9011                 9011                         234                      1541
Knights of the Dinner Table                 13    2015                   8585                 8585                         502                      1459
Reindeer Olympics                           14    2015                   8750                 8750                         438                      1564
Science for Hungry People                   15    2015                   7505                 7505                         408                      1938
Aunt Sue                                    16    2015                   7732                 7732                         378                      1095
No Such Thing as Too Much                   17    2015                   7146                 7146                         106                      1049
Like a GIF For Your Yard                    18    2015                   6786                 6786                         334                      1781
Medicine for Rudolph                        19    2015                   4859                 4859                        1075                     13931
Infinite Elves and Infinite Houses          20    2015                   5514                 5514                         361                      3837
RPG Simulator 20XX                          21    2015                   5180                 5180                         699                      2743
Wizard Simulator 20XX                       22    2015                   3806                 3806                        1316                     10985
Opening the Turing Lock                     23    2015                   4769                 4769                         380                      1766
It Hangs in the Balance                     24    2015                   3969                 3969                         294                      3362
Let It Snow                                 25    2015                   3400                 3400                         257                       947
No Time for a Taxicab                        1    2016                  17957                17957                         421                      2329
Bathroom Security                            2    2016                  16020                16020                         349                      1150
Squares With Three Sides                     3    2016                  14803                14803                         166                       727
Security Through Obscurity                   4    2016                  12495                12495                         595                      1604
How About a Nice Game of Chess?              5    2016                  11693                11693                         417                      1052
Signals and Noise                            6    2016                  12067                12067                         104                       376
Internet Protocol Version 7                  7    2016                   9592                 9592                         475                      1593
Two-Factor Authentication                    8    2016                   9127                 9127                         415                      1375
Explosives in Cyberspace                     9    2016                   7184                 7184                         540                      1953
Balance Bots                                10    2016                   6649                 6649                         529                      2197
Radioisotope Thermoelectric Generators      11    2016                   3811                 3811                         520                      9855
Leonardo's Monorail                         12    2016                   5786                 5786                         394                      1090
A Maze of Twisty Little Cubicles            13    2016                   4679                 4679                         351                      1814
One-Time Pad                                14    2016                   4620                 4620                         728                      2530
Timing is Everything                        15    2016                   4651                 4651                         266                       762
Dragon Checksum                             16    2016                   4642                 4642                         231                       810
Two Steps Forward                           17    2016                   3942                 3942                         502                      1755
Like a Rogue                                18    2016                   4370                 4370                         306                       789
An Elephant Named Joseph                    19    2016                   3722                 3722                         525                      4807
Firewall Rules                              20    2016                   4095                 4095                         298                      1264
Scrambled Letters and Hash                  21    2016                   3620                 3620                         823                      3176
Grid Computing                              22    2016                   2750                 2750                         890                      5295
Safe Cracking                               23    2016                   2987                 2987                        1019                      3339
Air Duct Spelunking                         24    2016                   2683                 2683                         346                      3530
Clock Signal                                25    2016                   2300                 2300                         236                      1487
Inverse Captcha                              1    2017                  47301                47301                          76                       368
Corruption Checksum                          2    2017                  39819                39819                          75                       373
Spiral Memory                                3    2017                  24143                24143                         242                      1399
High-Entropy Passphrases                     4    2017                  27878                27878                          70                       220
A Maze of Twisty Trampolines, All Alike      5    2017                  25921                25921                         108                       286
Memory Reallocation                          6    2017                  22755                22755                         178                       570
Recursive Circus                             7    2017                  16546                16546                         576                      1521
I Heard You Like Registers                   8    2017                  18059                18059                         178                       502
Stream Processing                            9    2017                  15831                15831                         262                       697
Knot Hash                                   10    2017                  13142                13142                         351                      1524
Hex Ed                                      11    2017                  12963                12963                         190                       703
Digital Plumber                             12    2017                  12636                12636                         133                       546
Packet Scanners                             13    2017                  11193                11193                         340                      1306
Disk Defragmentation                        14    2017                   9486                 9486                         297                      1506
Dueling Generators                          15    2017                  10585                10585                         136                       572
Permutation Promenade                       16    2017                   9724                 9724                         328                      1597
Spinlock                                    17    2017                   9368                 9368                         308                       951
Duet                                        18    2017                   7813                 7813                         584                      2462
A Series of Tubes                           19    2017                   8376                 8376                         293                      1084
Particle Swarm                              20    2017                   7457                 7457                         430                      1293
Fractal Art                                 21    2017                   6154                 6154                         609                      2691
Sporifica Virus                             22    2017                   6458                 6458                         362                      1229
